#date: 26.11.2020	time: 20:46:11
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
3.38759E+2	4.89290E+0	2.62985E-2	2.28682E+0	2.13961E+0	1.11892E+1	5.37742E+2
3.39470E+2	4.88870E+0	2.62988E-2	2.28685E+0	2.13774E+0	1.11797E+1	5.37273E+2
3.40191E+2	4.88597E+0	2.62976E-2	2.28675E+0	2.13665E+0	1.11730E+1	5.36998E+2
3.40910E+2	4.88742E+0	2.62981E-2	2.28679E+0	2.13724E+0	1.11765E+1	5.37148E+2
3.41631E+2	4.89060E+0	2.62967E-2	2.28667E+0	2.13874E+0	1.11832E+1	5.37525E+2
3.42350E+2	4.89114E+0	2.62976E-2	2.28675E+0	2.13891E+0	1.11848E+1	5.37566E+2
3.43059E+2	4.88770E+0	2.62987E-2	2.28685E+0	2.13731E+0	1.11774E+1	5.37164E+2
3.43779E+2	4.88437E+0	2.62987E-2	2.28684E+0	2.13586E+0	1.11698E+1	5.36799E+2
3.44498E+2	4.88418E+0	2.62985E-2	2.28682E+0	2.13579E+0	1.11693E+1	5.36784E+2
3.45218E+2	4.88296E+0	2.62996E-2	2.28692E+0	2.13516E+0	1.11670E+1	5.36625E+2
3.45929E+2	4.88039E+0	2.62974E-2	2.28673E+0	2.13423E+0	1.11601E+1	5.36390E+2
3.46649E+2	4.88207E+0	2.62970E-2	2.28670E+0	2.13499E+0	1.11638E+1	5.36581E+2
3.47370E+2	4.88734E+0	2.62976E-2	2.28675E+0	2.13725E+0	1.11761E+1	5.37149E+2
3.48090E+2	4.88863E+0	2.62981E-2	2.28679E+0	2.13777E+0	1.11793E+1	5.37280E+2
3.48809E+2	4.88911E+0	2.62980E-2	2.28678E+0	2.13799E+0	1.11803E+1	5.37335E+2
3.49529E+2	4.89207E+0	2.62980E-2	2.28678E+0	2.13928E+0	1.11871E+1	5.37661E+2
